GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3724,0.0,0.0,-0.0,0.0,-0.0,-0.0,-43.2,-6.13,0.0,-0.0,8.23,-39.65,72.1,-49.32,40.69,-8.64
3775,-0.0,-0.0,0.0,0.0,0.0,0.0,-46.24,-1.09,-0.0,-0.0,6.0,-44.45,77.36,-47.32,38.91,-8.42
3826,0.0,0.0,0.0,-0.0,-0.0,-0.0,-45.77,-6.05,-0.0,0.0,10.42,-44.46,78.74,-51.83,44.69,-7.13
3877,-0.0,0.0,0.0,-0.0,-0.0,0.0,-48.85,-11.68,0.0,0.0,14.3,-43.86,78.8,-60.53,49.24,-11.28
3928,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-40.04,-25.01,-0.0,0.0,24.07,-42.41,73.16,-65.04,54.82,-10.23
3979,0.0,0.0,0.0,-0.0,-0.0,0.0,-47.17,-8.12,-0.0,-0.0,10.44,-43.09,76.66,-55.29,44.0,-11.29
4030,-0.0,0.0,0.0,0.0,-0.0,0.0,-39.39,-20.26,0.0,0.0,20.21,-44.82,77.36,-59.64,52.76,-6.89
4081,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-43.55,-14.6,-0.0,0.0,17.33,-42.57,77.41,-58.15,52.17,-5.98
4132,0.0,-0.0,-0.0,-0.0,0.0,0.0,-45.29,-11.29,0.0,-0.0,16.51,-40.97,76.28,-56.58,51.82,-4.77
4183,0.0,-0.0,0.0,0.0,0.0,-0.0,-46.14,-10.76,-0.0,0.0,15.12,-42.6,76.38,-56.9,48.89,-8.01
4234,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.77,-17.83,-0.0,-0.0,18.89,-40.68,73.4,-58.6,51.61,-6.99
